id,Dien_tich,So_phong,So_tang,Mat_tien_m,Huong_nha,Vi_tri,Noi_dung_mo_ta,Gia_ty_vnd
1588,47.9,4,3,4.9,Tây,Quan_4,"Bán nhà hẻm xe máy thông, khu dân cư đông đúc, nội thất cao cấp, phù hợp ở thực và đầu tư, liên hệ ngay.",9.95
1589,210.2,2,2,7.7,Đông,Quan_Tan_Binh,"Nhà phố thương mại, diện tích rộng, sân thượng rộng, hầm xe ô tô, giá tốt đầu tư.",35.01
1590,51.3,4,4,9.6,Đông Bắc,Quan_6,"Bán nhà mặt tiền, ở ngay, nội thất cao cấp, vị trí đắc địa, liên hệ ngay.",11.94
1591,249.0,3,1,8.6,Tây Nam,Quan_4,"hầm xe ô tô, hướng Tây Nam đón gió, chủ cần tiền bán gấp, pháp lý đầy đủ.",43.21
1592,26.3,6,5,12.0,Đông Bắc,Huyen_Hoc_Mon,"Nhà hẻm ô tô, pháp lý rõ ràng, phù hợp ở gia đình, sổ hồng riêng, sân thượng rộng.",8.33
1593,48.5,1,2,9.8,Nam,Quan_Binh_Thanh,"view sông thoáng, hướng Nam đón gió, ở ngay, sổ hồng riêng.",11.79
1594,83.8,2,1,5.3,Bắc,Quan_Go_Vap,"Nhà hẻm ô tô, hầm xe ô tô, khu compound, sổ hồng.",10.55
1595,285.6,2,3,4.8,Bắc,Quan_4,"gần trường học và chợ, nội thất cơ bản, nội thất cao cấp, sổ hồng riêng.",54.7
1596,152.8,2,5,3.1,Tây Bắc,Quan_Tan_Binh,"thang máy riêng, giá thương lượng, hẻm thông 2 đầu, phù hợp ở thực và đầu tư.",37.93
1597,299.3,5,1,9.9,Đông Bắc,Quan_2,"Bán gấp nhà hẻm xe máy thông, thang máy riêng, nở hậu, pháp lý đầy đủ.",77.95
1598,28.1,4,3,4.2,Tây,Quan_6,"Bán gấp nhà hẻm xe máy thông, pháp lý rõ ràng, hồ bơi riêng, pháp lý đầy đủ.",5.66
1599,89.5,2,5,5.5,Đông Bắc,Quan_6,"Nhà hẻm ô tô, thang máy riêng, phù hợp ở gia đình, sổ hồng riêng, hầm xe ô tô.",17.25
1600,142.7,4,4,4.2,Nam,Quan_7,"Bán gấp nhà hẻm ô tô, giá thương lượng, an ninh 24/7, sổ hồng riêng.",39.11
1601,94.1,3,5,4.6,Tây,Huyen_Nha_Be,"Nhà hẻm ba gác, gần trường học và chợ, thang máy riêng, sổ đỏ.",9.61
1602,33.0,3,3,6.4,Đông Bắc,Quan_12,"sổ hồng chính chủ, nội thất đầy đủ, hẻm thông 2 đầu, sổ đỏ chính chủ.",6.88
1603,62.5,7,1,7.4,Nam,Quan_3,"gần bệnh viện, hướng Nam đón gió, pháp lý rõ ràng, sổ hồng riêng.",35.04
1604,85.6,8,2,5.0,Tây,Quan_2,"hẻm ô tô đẹp, chủ cần tiền bán gấp, sổ đỏ chính chủ, gần trường học và chợ.",22.98
1605,213.6,4,2,8.7,Tây,Quan_Phu_Nhuan,"Nhà hẻm ba gác, nội thất đầy đủ, phù hợp ở gia đình, sổ hồng chính chủ, chủ cần tiền bán gấp.",43.99
1606,36.7,8,2,10.3,Đông Nam,Quan_Thu_Duc,"Nhà villa mini, diện tích rộng, thang máy riêng, nở hậu, giá tốt đầu tư.",12.32
1607,143.5,6,4,3.3,Đông,Quan_Thu_Duc,"Nhà hẻm xe máy thông mới xây, view sông thoáng, nở hậu, khu dân cư an ninh.",13.61
1608,209.5,5,2,8.4,Tây Bắc,Quan_Thu_Duc,"Nhà mặt tiền, nở hậu, phù hợp ở gia đình, sổ hồng riêng, gần trục đường lớn.",32.03
1609,139.5,6,3,9.1,Bắc,Quan_5,"Nhà hẻm xe máy thông, diện tích rộng, hồ bơi riêng, gần trục đường lớn, giá tốt đầu tư.",31.13
1610,215.4,4,4,5.8,Tây,Quan_Go_Vap,"sân thượng rộng, view sông thoáng, gần trục đường lớn, phù hợp ở thực và đầu tư.",30.4
1611,201.7,4,4,4.6,Tây Nam,Quan_8,"nhà 1 trệt 1 lầu, gần trường học và chợ, khu dân cư đông đúc, đầu tư sinh lời cao.",23.98
1612,213.0,5,2,10.9,Tây,Quan_8,"sân thượng rộng, hướng Tây đón gió, gần bệnh viện, pháp lý đầy đủ.",29.65
1613,187.7,7,4,5.7,Tây Nam,Quan_7,"hẻm thông 2 đầu, hướng Tây Nam đón gió, gần trường học và chợ, sổ hồng riêng.",41.47
1614,126.1,7,1,5.8,Tây Nam,Quan_11,"biệt thự đẹp, khu compound, hầm xe ô tô, pháp lý rõ ràng.",32.06
1615,150.0,4,3,10.4,Nam,Quan_11,"Nhà hẻm ô tô, nội thất cao cấp, gần trường học và chợ, sổ đỏ chính chủ.",25.63
1616,162.0,4,4,4.4,Tây,Quan_6,"hẻm ba gác đẹp, pháp lý rõ ràng, gần trường học và chợ, nhà 1 trệt 1 lầu.",25.31
1617,316.4,7,2,9.1,Đông Bắc,Quan_11,"hẻm ba gác đẹp, ở ngay, sổ hồng chính chủ, pháp lý rõ ràng.",51.47
1618,203.8,5,1,10.9,Tây Nam,Quan_7,"Nhà hẻm xe máy thông, sổ đỏ chính chủ, nở hậu, sổ đỏ.",39.32
1619,131.5,2,1,5.2,Tây Nam,Quan_3,"chủ cần tiền bán gấp, khu dân cư đông đúc, gần trường học và chợ, phù hợp ở thực và đầu tư.",31.35
1620,156.6,4,1,5.0,Đông,Huyen_Binh_Chanh,"Bán nhà hẻm xe máy thông, chủ cần tiền bán gấp, sân thượng rộng, đầu tư sinh lời cao, liên hệ ngay.",9.01
1621,280.1,1,1,9.8,Đông,Quan_1,"Nhà hẻm ô tô, diện tích rộng, thang máy riêng, nhà 1 trệt 1 lầu, giá tốt đầu tư.",105.05
1622,130.5,4,4,5.5,Đông Bắc,Quan_10,"Nhà hẻm xe máy thông, khu dân cư đông đúc, an ninh 24/7, sổ hồng.",18.54
1623,242.0,5,1,7.3,Nam,Quan_3,"Nhà hẻm ô tô, diện tích rộng, sổ đỏ chính chủ, gần trục đường lớn, giá tốt đầu tư.",77.77
1624,193.0,8,5,6.3,Đông,Quan_Phu_Nhuan,"chủ cần tiền bán gấp, hướng Đông đón gió, sân thượng rộng, sổ đỏ chính chủ.",65.73
1625,182.3,2,1,5.3,Đông Bắc,Quan_11,"thang máy riêng, nội thất cao cấp, nhà mới hoàn thiện, pháp lý đầy đủ.",29.98
1626,118.1,6,1,4.7,Tây Nam,Quan_2,"Nhà hẻm ba gác, hẻm thông 2 đầu, phù hợp ở gia đình, pháp lý đầy đủ, nội thất cao cấp.",29.89
1627,220.8,4,1,4.6,Tây Bắc,Quan_Binh_Thanh,"Nhà hẻm xe máy thông, diện tích rộng, nhà 1 trệt 1 lầu, nội thất cao cấp, giá tốt đầu tư.",30.49
1628,267.0,6,3,10.3,Tây Nam,Quan_7,"Nhà hẻm xe máy thông, giá thương lượng, phù hợp ở gia đình, sổ hồng chính chủ, gần trục đường lớn.",54.07
1629,101.8,5,3,6.5,Tây Bắc,Huyen_Binh_Chanh,"Bán nhà hẻm ô tô, khu compound, thiết kế thoáng mát, phù hợp ở thực và đầu tư, liên hệ ngay.",7.55
1630,282.8,5,3,6.2,Tây Bắc,Quan_5,"Bán gấp nhà hẻm ô tô, hẻm thông 2 đầu, khu dân cư đông đúc, pháp lý đầy đủ.",79.36
1631,179.1,2,1,6.0,Tây Nam,Quan_Tan_Binh,"thiết kế thoáng mát, nội thất châu Âu, nở hậu, sổ hồng riêng.",30.75
1632,144.5,2,2,6.5,Bắc,Quan_3,"gần trục đường lớn, nội thất hiện đại, gần trường học và chợ, sổ đỏ chính chủ.",43.02
1633,73.9,5,3,5.2,Đông,Quan_6,"khu dân cư đông đúc, nội thất cao cấp, ở ngay, sổ hồng chính chủ.",14.23
1634,188.9,3,3,8.0,Tây,Huyen_Binh_Chanh,"nội thất cao cấp, nội thất cao cấp, nhà mới hoàn thiện, sổ đỏ chính chủ.",16.2
1635,213.9,7,2,11.0,Tây,Quan_3,"Nhà hẻm xe máy thông, pháp lý rõ ràng, phù hợp ở gia đình, sổ hồng chính chủ, giá thương lượng.",69.05
1636,87.7,5,5,3.8,Tây Nam,Quan_7,"Nhà hẻm ba gác mới xây, nhà mới hoàn thiện, nội thất đầy đủ, khu dân cư an ninh.",20.86
1637,272.0,4,2,10.1,Đông,Quan_8,"Nhà hẻm xe máy thông, diện tích rộng, gần bệnh viện, hồ bơi riêng, giá tốt đầu tư.",27.32
1638,60.6,6,3,3.5,Nam,Huyen_Binh_Chanh,"Nhà mặt tiền, diện tích rộng, view sông thoáng, sổ hồng chính chủ, giá tốt đầu tư.",6.83
1639,175.8,6,2,5.8,Đông Nam,Quan_Binh_Thanh,"Nhà trong ngõ yên tĩnh, diện tích rộng, nhà 1 trệt 1 lầu, khu dân cư đông đúc, giá tốt đầu tư.",35.58
1640,166.0,3,1,9.8,Tây Nam,Huyen_Nha_Be,"view sông thoáng, nội thất cơ bản, nội thất cao cấp, sổ đỏ chính chủ.",16.29
1641,308.0,4,3,4.8,Tây Nam,Quan_Tan_Binh,"nội thất cao cấp, nội thất hiện đại, pháp lý rõ ràng, sổ hồng riêng.",51.15
1642,42.2,5,3,4.2,Đông Nam,Quan_Thu_Duc,"Nhà hẻm xe máy thông, diện tích rộng, nhà mới hoàn thiện, liên hệ xem nhà, giá tốt đầu tư.",6.57
1643,313.8,1,2,6.2,Nam,Quan_Tan_Binh,"Bán gấp nhà trong ngõ yên tĩnh, sổ hồng chính chủ, sân thượng rộng, sổ hồng chính chủ.",54.2
1644,92.3,3,1,6.1,Nam,Quan_4,"nhà 1 trệt 1 lầu, hướng Nam đón gió, penthouse, sổ đỏ chính chủ.",23.36
1645,252.4,5,3,5.5,Đông Nam,Quan_Thu_Duc,"thang máy riêng, hướng Đông Nam đón gió, nở hậu, sổ hồng chính chủ.",29.38
1646,82.4,3,1,5.0,Bắc,Quan_Tan_Binh,"Bán nhà phố thương mại, nội thất đầy đủ, khu compound, phù hợp ở thực và đầu tư, liên hệ ngay.",12.96
1647,285.0,3,1,3.6,Tây,Quan_6,"Bán gấp nhà villa mini, chủ cần tiền bán gấp, hồ bơi riêng, sổ hồng riêng.",39.15
1648,188.8,5,4,8.9,Bắc,Quan_3,"view sông thoáng, nội thất đầy đủ, hẻm thông 2 đầu, sổ đỏ chính chủ.",56.74
1649,204.0,2,4,4.4,Đông Nam,Quan_5,"Nhà hẻm ba gác mới xây, nhà mới hoàn thiện, nở hậu, khu dân cư an ninh.",45.86
1650,168.9,6,3,6.9,Bắc,Quan_Tan_Binh,"Bán nhà mặt tiền, nội thất cao cấp, sổ hồng chính chủ, thu nhập cho thuê ổn định, liên hệ ngay.",43.69
1651,126.5,3,2,5.5,Đông Nam,Quan_Go_Vap,"hẻm ô tô đẹp, sổ đỏ chính chủ, penthouse, an ninh 24/7.",20.22
1652,298.4,5,1,3.7,Tây Nam,Quan_11,"khu dân cư đông đúc, hướng Tây Nam đón gió, thang máy riêng, pháp lý đầy đủ.",49.71
1653,184.1,4,1,10.0,Đông Bắc,Quan_11,"Bán gấp nhà phố thương mại, nội thất cao cấp, penthouse, pháp lý đầy đủ.",39.51
1654,159.4,4,2,9.6,Nam,Quan_7,"hẻm thông 2 đầu, nội thất cơ bản, thang máy riêng, pháp lý đầy đủ.",35.66
1655,96.4,4,3,5.0,Đông Bắc,Huyen_Binh_Chanh,"Bán nhà hẻm ba gác, pháp lý rõ ràng, hầm xe ô tô, tiềm năng tăng giá, liên hệ ngay.",8.26
1656,114.7,5,4,9.2,Nam,Quan_2,"nở hậu, nội thất cao cấp, gần bệnh viện, sổ hồng chính chủ.",35.43
1657,288.2,4,2,5.6,Tây Bắc,Quan_7,"hẻm thông 2 đầu, hầm xe ô tô, hồ bơi riêng, tiềm năng tăng giá.",55.26
1658,242.0,5,3,3.6,Đông Nam,Quan_Thu_Duc,"Nhà trong ngõ yên tĩnh, nội thất đầy đủ, phù hợp ở gia đình, sổ hồng riêng, chủ cần tiền bán gấp.",21.81
1659,216.8,4,1,6.6,Tây Bắc,Quan_5,"Nhà hẻm ba gác, diện tích rộng, sổ hồng chính chủ, view sông thoáng, giá tốt đầu tư.",40.92
1660,43.2,7,1,6.7,Tây,Quan_4,"Bán nhà hẻm xe máy thông, gần trục đường lớn, thiết kế thoáng mát, phù hợp ở thực và đầu tư, liên hệ ngay.",8.31
1661,117.7,4,2,5.2,Đông Bắc,Huyen_Hoc_Mon,"Nhà villa mini, hầm xe ô tô, phù hợp ở gia đình, sổ hồng chính chủ, nội thất đầy đủ.",9.83
1662,200.1,2,3,7.4,Tây Nam,Quan_12,"nở hậu, nội thất cao cấp, an ninh 24/7, sổ đỏ chính chủ.",23.36
1663,217.9,5,2,3.1,Tây Nam,Quan_8,"Bán gấp nhà mặt tiền, hồ bơi riêng, view sông thoáng, sổ đỏ chính chủ.",39.66
1664,293.3,5,4,3.1,Đông Bắc,Quan_Phu_Nhuan,"Bán nhà hẻm xe máy thông, gần trục đường lớn, sân thượng rộng, thu nhập cho thuê ổn định, liên hệ ngay.",42.09
1665,311.2,4,2,4.3,Nam,Quan_Thu_Duc,"nội thất cao cấp, hướng Nam đón gió, sổ đỏ chính chủ, sổ đỏ chính chủ.",32.1
1666,192.0,4,1,9.5,Tây,Quan_12,"nội thất cao cấp, hướng Tây đón gió, nhà 1 trệt 1 lầu, pháp lý đầy đủ.",26.69
1667,239.2,2,3,5.4,Đông Nam,Quan_12,"trong ngõ yên tĩnh đẹp, nội thất cao cấp, sổ đỏ chính chủ, giá thương lượng.",28.71
1668,77.2,4,4,6.8,Đông Nam,Quan_11,"Nhà mặt tiền, nội thất cao cấp, phù hợp ở gia đình, sổ đỏ chính chủ, pháp lý rõ ràng.",29.04
1669,209.2,5,1,5.0,Đông,Quan_Thu_Duc,"penthouse, nội thất hiện đại, chủ cần tiền bán gấp, pháp lý đầy đủ.",17.11
1670,256.0,5,2,5.8,Tây,Quan_5,"Nhà hẻm ba gác, khu compound, phù hợp ở gia đình, sổ hồng chính chủ, khu dân cư đông đúc.",59.1
1671,291.9,3,2,6.8,Nam,Quan_3,"Bán nhà trong ngõ yên tĩnh, gần bệnh viện, sân thượng rộng, phù hợp ở thực và đầu tư, liên hệ ngay.",104.59
1672,236.5,3,2,5.8,Đông Bắc,Quan_Thu_Duc,"nhà 1 trệt 1 lầu, hướng Đông Bắc đón gió, view sông thoáng, sổ đỏ chính chủ.",25.22
1673,244.9,4,2,9.0,Bắc,Quan_Thu_Duc,"Nhà phố thương mại mới xây, gần trường học và chợ, thiết kế thoáng mát, khu dân cư an ninh.",30.13
1674,286.2,2,2,4.3,Nam,Quan_Binh_Tan,"Nhà hẻm xe máy thông, hồ bơi riêng, nở hậu, sổ đỏ chính chủ.",24.6
1675,131.6,3,1,8.0,Bắc,Huyen_Binh_Chanh,"Nhà hẻm ô tô, sân thượng rộng, phù hợp ở gia đình, sổ hồng riêng, sổ đỏ chính chủ.",8.4
1676,62.5,4,2,4.6,Đông Nam,Quan_Go_Vap,"gần trường học và chợ, hướng Đông Nam đón gió, giá thương lượng, sổ đỏ chính chủ.",10.7
1677,124.9,7,2,5.4,Tây Nam,Quan_12,"trong ngõ yên tĩnh đẹp, nội thất cao cấp, khu compound, thiết kế thoáng mát.",11.5
1678,35.1,4,5,8.1,Đông Bắc,Huyen_Nha_Be,"sổ hồng chính chủ, hướng Đông Bắc đón gió, nở hậu, pháp lý đầy đủ.",7.25
1679,74.9,3,1,6.8,Bắc,Quan_5,"Nhà trong ngõ yên tĩnh, diện tích rộng, liên hệ xem nhà, gần bệnh viện, giá tốt đầu tư.",15.43
1680,222.6,6,5,5.0,Đông Bắc,Quan_Thu_Duc,"Bán gấp nhà hẻm ba gác, liên hệ xem nhà, nội thất đầy đủ, sổ đỏ chính chủ.",23.68
1681,133.6,2,3,3.2,Tây Bắc,Quan_5,"gần trường học và chợ, hướng Tây Bắc đón gió, view sông thoáng, sổ hồng chính chủ.",40.99
1682,210.3,7,2,3.1,Đông Bắc,Huyen_Binh_Chanh,"Bán gấp nhà hẻm ba gác, giá thương lượng, sổ đỏ chính chủ, sổ hồng chính chủ.",9.95
1683,270.7,3,3,2.6,Bắc,Quan_5,"Nhà hẻm xe máy thông, diện tích rộng, nhà 1 trệt 1 lầu, thang máy riêng, giá tốt đầu tư.",54.16
1684,266.5,4,2,4.3,Tây,Quan_Tan_Binh,"Bán nhà hẻm ba gác, nhà 1 trệt 1 lầu, gần trục đường lớn, phù hợp ở thực và đầu tư, liên hệ ngay.",47.23
1685,190.9,4,3,7.8,Tây,Quan_3,"Nhà phố thương mại, diện tích rộng, nở hậu, hẻm thông 2 đầu, giá tốt đầu tư.",82.76
1686,185.3,6,2,5.1,Đông Bắc,Quan_Tan_Binh,"nội thất đầy đủ, gần trục đường lớn, nhà mới hoàn thiện, vị trí đắc địa.",31.65
1687,74.0,1,1,4.5,Nam,Quan_6,"Nhà hẻm ô tô, diện tích rộng, gần bệnh viện, pháp lý rõ ràng, giá tốt đầu tư.",10.95
1688,69.3,6,3,8.3,Tây Nam,Quan_3,"gần trục đường lớn, hướng Tây Nam đón gió, giá thương lượng, sổ hồng riêng.",22.67
1689,148.4,4,1,5.1,Tây,Quan_Binh_Tan,"Nhà hẻm ô tô, diện tích rộng, sân thượng rộng, pháp lý rõ ràng, giá tốt đầu tư.",11.12
1690,43.1,3,1,5.3,Đông,Huyen_Binh_Chanh,"biệt thự đẹp, view sông thoáng, nhà mới hoàn thiện, sân thượng rộng.",6.63
1691,72.6,6,3,5.9,Đông Nam,Quan_1,"Nhà phố thương mại, hầm xe ô tô, phù hợp ở gia đình, pháp lý đầy đủ, gần bệnh viện.",37.85
1692,296.7,2,1,4.0,Đông Nam,Quan_Binh_Tan,"hẻm ô tô đẹp, penthouse, sân thượng rộng, hẻm thông 2 đầu.",26.83
1693,302.6,4,2,3.5,Đông Nam,Quan_12,"Bán gấp nhà hẻm xe máy thông, sổ hồng chính chủ, nhà 1 trệt 1 lầu, pháp lý đầy đủ.",22.71
1694,230.0,5,2,6.2,Tây,Huyen_Hoc_Mon,"Nhà hẻm ba gác, diện tích rộng, khu compound, thiết kế thoáng mát, giá tốt đầu tư.",11.22
1695,273.4,5,1,12.0,Đông,Quan_6,"Nhà hẻm xe máy thông mới xây, nhà 1 trệt 1 lầu, hẻm thông 2 đầu, khu dân cư an ninh.",31.75
1696,236.7,3,3,9.7,Nam,Quan_6,"hẻm ba gác đẹp, hẻm thông 2 đầu, an ninh 24/7, hồ bơi riêng.",30.3
1697,70.5,4,2,11.8,Tây Nam,Quan_3,"nội thất cao cấp, sổ đỏ chính chủ, nhà mới hoàn thiện, đầu tư sinh lời cao.",29.96
1698,94.0,6,3,3.3,Tây Nam,Quan_8,"trong ngõ yên tĩnh đẹp, pháp lý rõ ràng, sân thượng rộng, khu compound.",9.83
1699,310.9,4,1,5.9,Tây Nam,Quan_Go_Vap,"Bán gấp nhà hẻm ba gác, giá thương lượng, hầm xe ô tô, sổ hồng chính chủ.",35.79
1700,240.6,6,4,3.9,Đông,Quan_10,"hẻm ba gác đẹp, thang máy riêng, hồ bơi riêng, liên hệ xem nhà.",50.72
1701,153.0,4,5,5.4,Nam,Quan_6,"thang máy riêng, nội thất đầy đủ, view sông thoáng, sổ hồng riêng.",19.35
1702,244.0,4,4,5.2,Đông Nam,Huyen_Nha_Be,"Nhà phố thương mại mới xây, nở hậu, hẻm thông 2 đầu, khu dân cư an ninh.",21.05
1703,59.4,6,4,11.1,Đông Nam,Quan_10,"Nhà trong ngõ yên tĩnh, diện tích rộng, nhà 1 trệt 1 lầu, sân thượng rộng, giá tốt đầu tư.",15.24
1704,79.6,5,1,3.9,Tây Bắc,Quan_Tan_Binh,"Bán gấp nhà trong ngõ yên tĩnh, hẻm thông 2 đầu, penthouse, sổ hồng riêng.",10.56
1705,202.9,8,5,5.9,Đông Bắc,Huyen_Binh_Chanh,"Bán nhà trong ngõ yên tĩnh, hẻm thông 2 đầu, khu compound, phù hợp ở thực và đầu tư, liên hệ ngay.",15.14
1706,129.7,3,2,8.1,Tây,Quan_Tan_Binh,"Nhà hẻm ô tô, ở ngay, phù hợp ở gia đình, sổ hồng riêng, chủ cần tiền bán gấp.",23.41
1707,277.4,5,5,4.1,Tây,Huyen_Binh_Chanh,"trong ngõ yên tĩnh đẹp, nở hậu, sổ hồng chính chủ, khu compound.",18.62
1708,134.1,7,1,6.5,Đông Bắc,Quan_Thu_Duc,"Nhà hẻm xe máy thông, gần trường học và chợ, sổ hồng chính chủ, sổ đỏ chính chủ.",19.47
1709,151.3,3,3,7.8,Đông Nam,Quan_7,"ở ngay, nở hậu, view sông thoáng, tiềm năng tăng giá.",39.83
1710,81.5,3,2,9.5,Tây Nam,Quan_6,"Nhà hẻm ba gác, liên hệ xem nhà, penthouse, sổ hồng chính chủ.",13.96
1711,76.4,6,1,6.1,Tây Nam,Quan_7,"sân thượng rộng, nội thất đầy đủ, hồ bơi riêng, sổ hồng riêng.",24.39
1712,271.8,5,3,12.0,Tây Nam,Quan_Binh_Tan,"sổ đỏ chính chủ, nội thất hiện đại, penthouse, sổ hồng riêng.",37.43
1713,192.4,6,1,4.7,Bắc,Quan_8,"Nhà phố thương mại, khu compound, ở ngay, sổ đỏ.",27.64
1714,212.2,5,2,10.2,Tây Bắc,Quan_Binh_Thanh,"hẻm ô tô đẹp, nội thất đầy đủ, nhà 1 trệt 1 lầu, hầm xe ô tô.",46.01
1715,59.4,4,2,5.3,Tây Bắc,Huyen_Hoc_Mon,"Bán nhà hẻm ô tô, liên hệ xem nhà, view sông thoáng, vị trí đắc địa, liên hệ ngay.",3.41
1716,29.4,4,1,4.6,Tây Nam,Quan_Binh_Thanh,"Nhà biệt thự mới xây, chủ cần tiền bán gấp, giá thương lượng, khu dân cư an ninh.",11.8
1717,39.0,3,1,9.0,Tây,Quan_8,"hẻm ba gác đẹp, khu compound, nhà mới hoàn thiện, nội thất đầy đủ.",6.51
1718,272.8,3,3,4.0,Tây Bắc,Huyen_Hoc_Mon,"Nhà mặt tiền, diện tích rộng, penthouse, nội thất đầy đủ, giá tốt đầu tư.",22.56
1719,243.9,5,2,5.4,Đông,Quan_Tan_Binh,"Bán gấp nhà phố thương mại, nhà mới hoàn thiện, ở ngay, sổ hồng chính chủ.",56.4
1720,245.8,3,2,5.1,Tây Bắc,Quan_1,"Nhà hẻm ba gác, diện tích rộng, sân thượng rộng, liên hệ xem nhà, giá tốt đầu tư.",77.92
1721,231.7,4,3,5.4,Tây Bắc,Huyen_Nha_Be,"Nhà hẻm ô tô, pháp lý rõ ràng, khu compound, sổ đỏ.",16.2
1722,181.1,3,1,6.1,Bắc,Quan_Tan_Binh,"Bán nhà hẻm ô tô, thang máy riêng, sổ đỏ chính chủ, tiềm năng tăng giá, liên hệ ngay.",15.5
1723,196.8,6,3,6.5,Tây Nam,Huyen_Hoc_Mon,"chủ cần tiền bán gấp, nội thất châu Âu, giá thương lượng, sổ đỏ chính chủ.",10.79
1724,140.8,4,3,6.4,Tây,Quan_Binh_Thanh,"Nhà hẻm ô tô, an ninh 24/7, phù hợp ở gia đình, sổ hồng chính chủ, giá thương lượng.",28.99
1725,299.8,4,2,3.6,Tây Bắc,Quan_Tan_Binh,"thiết kế thoáng mát, hướng Tây Bắc đón gió, khu dân cư đông đúc, pháp lý đầy đủ.",35.03
1726,114.6,8,5,8.9,Tây Bắc,Quan_Phu_Nhuan,"hẻm xe máy thông đẹp, pháp lý rõ ràng, sổ đỏ chính chủ, hẻm thông 2 đầu.",29.43
1727,226.2,3,1,8.5,Đông,Quan_10,"Nhà hẻm xe máy thông, diện tích rộng, nội thất cao cấp, chủ cần tiền bán gấp, giá tốt đầu tư.",45.9
1728,67.6,5,1,12.0,Đông Bắc,Quan_4,"sổ hồng chính chủ, gần trường học và chợ, nhà mới hoàn thiện, tiềm năng tăng giá.",18.22
1729,177.6,8,2,4.0,Bắc,Quan_3,"Nhà villa mini, penthouse, giá thương lượng, sổ đỏ chính chủ.",43.5
1730,104.0,6,3,4.9,Tây,Quan_Binh_Thanh,"Nhà biệt thự, sân thượng rộng, penthouse, sổ hồng.",48.08
1731,67.5,8,3,4.5,Tây Nam,Quan_6,"Nhà hẻm ô tô, ở ngay, sổ đỏ chính chủ, sổ hồng.",7.39
1732,33.7,6,1,7.6,Đông,Huyen_Binh_Chanh,"Bán nhà hẻm xe máy thông, nhà 1 trệt 1 lầu, nhà mới hoàn thiện, phù hợp ở thực và đầu tư, liên hệ ngay.",4.79
1733,185.6,4,5,5.4,Bắc,Quan_7,"Nhà hẻm ô tô, liên hệ xem nhà, gần bệnh viện, sổ đỏ.",45.29
1734,94.2,1,4,5.0,Tây Bắc,Quan_10,"Bán gấp nhà hẻm ô tô, nhà 1 trệt 1 lầu, sổ đỏ chính chủ, pháp lý đầy đủ.",15.18
1735,259.0,5,1,4.0,Nam,Quan_Binh_Thanh,"liên hệ xem nhà, nội thất cao cấp, penthouse, sổ hồng chính chủ.",35.58
1736,256.3,1,3,4.1,Đông,Quan_11,"Nhà hẻm xe máy thông mới xây, nội thất đầy đủ, thiết kế thoáng mát, khu dân cư an ninh.",30.07
1737,281.0,3,3,8.5,Đông Bắc,Quan_Binh_Thanh,"Nhà phố thương mại, penthouse, phù hợp ở gia đình, sổ hồng chính chủ, liên hệ xem nhà.",63.46
1738,177.6,6,3,8.3,Đông,Huyen_Binh_Chanh,"Nhà hẻm xe máy thông, thiết kế thoáng mát, an ninh 24/7, sổ đỏ.",14.97
1739,298.0,6,1,6.4,Đông Bắc,Quan_Go_Vap,"nội thất đầy đủ, hướng Đông Bắc đón gió, sân thượng rộng, sổ hồng chính chủ.",32.5
1740,123.5,8,3,4.1,Tây,Quan_1,"Bán nhà hẻm ô tô, nội thất đầy đủ, thiết kế thoáng mát, tiềm năng tăng giá, liên hệ ngay.",55.92
1741,315.1,2,3,12.0,Nam,Quan_4,"hẻm thông 2 đầu, nội thất đầy đủ, nở hậu, sổ đỏ chính chủ.",58.23
1742,168.9,4,1,8.5,Đông Nam,Quan_4,"Nhà phố thương mại, khu dân cư đông đúc, hầm xe ô tô, sổ hồng chính chủ.",40.56
1743,79.9,8,4,10.4,Đông Bắc,Quan_10,"Bán gấp nhà hẻm ba gác, giá thương lượng, nhà 1 trệt 1 lầu, sổ đỏ chính chủ.",22.31
1744,26.7,2,1,12.0,Bắc,Quan_Binh_Tan,"Nhà hẻm xe máy thông, diện tích rộng, penthouse, liên hệ xem nhà, giá tốt đầu tư.",6.61
1745,290.9,5,3,6.4,Nam,Quan_6,"Nhà mặt tiền, thiết kế thoáng mát, nhà 1 trệt 1 lầu, sổ đỏ chính chủ.",58.54
1746,230.4,2,2,6.0,Tây,Quan_Binh_Tan,"pháp lý rõ ràng, hướng Tây đón gió, thiết kế thoáng mát, sổ đỏ chính chủ.",20.8
1747,313.3,3,4,4.1,Tây Bắc,Quan_Go_Vap,"Bán nhà hẻm ba gác, gần trường học và chợ, khu compound, tiềm năng tăng giá, liên hệ ngay.",38.31
1748,242.1,2,4,4.3,Tây Bắc,Huyen_Binh_Chanh,"nội thất đầy đủ, hướng Tây Bắc đón gió, view sông thoáng, pháp lý đầy đủ.",17.78
1749,258.9,5,3,3.9,Nam,Quan_12,"gần trục đường lớn, nội thất châu Âu, giá thương lượng, sổ hồng riêng.",25.97
1750,147.8,8,1,3.3,Tây Nam,Quan_Tan_Binh,"nhà mới hoàn thiện, hướng Tây Nam đón gió, thang máy riêng, sổ hồng riêng.",21.41
1751,47.5,5,5,12.0,Bắc,Quan_4,"thang máy riêng, nội thất cao cấp, view sông thoáng, tiềm năng tăng giá.",20.52
